#  M  <mu>       SD_mu      <t_m>      SD_t_m    <P>    SD_P    <tau>      SD_tau 
   6 3.51643e-06 2.27813e-06 2.03597e-06 1.74364e-06 0.7290 0.1982 2.96855e-06 2.45649e-06 
   8 3.35475e-06 1.41280e-06 2.24822e-06 1.40291e-06 0.6820 0.1979 2.82491e-06 1.45000e-06 
  10 3.26808e-06 1.35270e-06 1.74053e-06 1.12775e-06 0.6498 0.2044 2.48121e-06 1.16793e-06 
  12 3.37731e-06 1.58616e-06 1.98192e-06 1.30233e-06 0.5865 0.2279 2.79470e-06 1.62913e-06 
  14 3.41813e-06 1.20064e-06 1.84914e-06 9.43251e-07 0.5810 0.2401 2.63164e-06 9.54927e-07 
  16 3.52339e-06 1.23991e-06 1.85956e-06 1.12464e-06 0.5045 0.2472 2.65002e-06 1.11721e-06 
  18 3.17801e-06 1.26552e-06 1.65189e-06 1.10028e-06 0.4866 0.2459 2.34382e-06 1.11870e-06 
  20 3.23692e-06 9.03581e-07 1.72169e-06 9.20139e-07 0.4814 0.2613 2.44719e-06 8.34690e-07 
  22 3.19300e-06 1.02725e-06 1.43221e-06 8.16358e-07 0.3628 0.2445 2.24981e-06 8.59003e-07 
  24 3.59674e-06 9.93596e-07 1.92522e-06 8.94946e-07 0.4075 0.2394 2.71933e-06 8.15869e-07 
  26 3.57496e-06 7.73715e-07 1.80414e-06 7.43335e-07 0.3771 0.2039 2.62445e-06 6.51146e-07 
  28 3.38234e-06 7.77246e-07 1.88587e-06 8.64688e-07 0.3681 0.1941 2.62297e-06 7.51069e-07 
  30 3.23603e-06 8.82092e-07 1.56421e-06 8.64672e-07 0.3282 0.2304 2.37066e-06 7.80184e-07 
